,sitelocality,site,locality,temp,salinity,depth,temp_mean,turbidity_m,turbidity_std_indv,turbidity_std_rank,latitude,longitude,CHL_OM,CHL_OSD,SPM_OM,SPM_OSD,BBP_OM,BBP_OSD,PP_mean,PP_sd,CDM_OM,CDM_OSD
09_ALD_d1_2mm,Alderdice_deep1,Alderdice,coral,19.93,36.37,82,20.74898104,2.5,-1.259244887,11.28571429,28.095,-92.00577,0.337864695,0.197913082,0.350568751,0.048853292,0.003409053,0.002819578,607.4360417,275.2269718,0.022482118,0.010904829
10_ALD_d2_2mm,Alderdice_deep2,Alderdice,background,20.16,36.48,82,20.667979,2.4,-1.268254255,11.71428571,28.09505,-92.00566,0.337864695,0.197913082,0.350568751,0.048853292,0.003409053,0.002819578,607.4360417,275.2269718,0.022482118,0.010904829
11_ALD_d2_2mm,Alderdice_deep2,Alderdice,background,20.04,36.39,82,20.667979,2.4,-1.268254255,11.71428571,28.09505,-92.00566,0.337864695,0.197913082,0.350568751,0.048853292,0.003409053,0.002819578,607.4360417,275.2269718,0.022482118,0.010904829
12_ALD_d2_2mm,Alderdice_deep2,Alderdice,background,20.07,36.45,82,20.667979,2.4,-1.268254255,11.71428571,28.09505,-92.00566,0.337864695,0.197913082,0.350568751,0.048853292,0.003409053,0.002819578,607.4360417,275.2269718,0.022482118,0.010904829
15_ALDshal_2mm,Alderdice_shallow,Alderdice,shallow,22.74,36.31,64,22.07338829,9.4,0.643101869,3.285714286,28.07689,-91.99263,0.336908298,0.197052189,0.351977674,0.061679745,0.003401876,0.00283786,606.3402579,271.7147134,0.022469506,0.011131206
14_ALDshal_2mm,Alderdice_shallow,Alderdice,shallow,22.67,36.33,65,22.07338829,9.4,0.643101869,3.285714286,28.07679,-91.99259,0.336908298,0.197052189,0.351977674,0.061679745,0.003401876,0.00283786,606.3402579,271.7147134,0.022469506,0.011131206
13_ALDshal_2mm,Alderdice_shallow,Alderdice,shallow,22.67,36.31,66,22.07338829,9.4,0.643101869,3.285714286,28.07683,-91.99257,0.336908298,0.197052189,0.351977674,0.061679745,0.003401876,0.00283786,606.3402579,271.7147134,0.022469506,0.011131206
04_DIA_d1_2mm,Diaphus_deep1,Diaphus,coral,21.32,35.4,81,20.9929086,6.8,-0.079022007,6.428571429,28.088209,-90.701406,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
05_DIA_d1_2mm,Diaphus_deep1,Diaphus,coral,20,35.24,81,20.9929086,6.8,-0.079022007,6.428571429,28.088209,-90.701406,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
06_DIA_d1_2mm,Diaphus_deep1,Diaphus,coral,20.94,35.38,81,20.9929086,6.8,-0.079022007,6.428571429,28.088209,-90.701406,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
01_DIA_d2_2mm,Diaphus_deep2,Diaphus,background,20.73,35.5,82,20.9721062,7.3,0.059390634,5.285714286,28.088295,-90.701405,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
02_DIA_d2_2mm,Diaphus_deep2,Diaphus,background,20.72,35.5,82,20.9721062,7.3,0.059390634,5.285714286,28.088295,-90.701405,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
03_DIA_d2_2mm,Diaphus_deep2,Diaphus,background,20.72,35.49,82,20.9721062,7.3,0.059390634,5.285714286,28.088295,-90.701405,0.972071466,0.649046634,0.354330131,0.046937782,0.007821843,0.006290709,1130.930271,571.2333109,0.045245748,0.023652779
