,Sample_ID,fileID,fullsample_ID,sample_id_r,sampCode,armsCode,siteType,site,sitelocality0,sitelocality,temp,salinity,depth,temp_mean,turbidity_m,turbidity_std_indv,turbidity_std_rank,latitude,longitude,locality,fraction,relativeAbundance,numberOTUs,Shannon,Simpson,Pielou,Margalef,Chao1,ACE,fileID_normalized,arms,type,core_value,CHL_OM,CHL_OSD,SPM_OM,SPM_OSD,BBP_OM,BBP_OSD,PP_mean,PP_sd,CDM_OM,CDM_OSD
SH21800,primers.trimmed.1392.103.SH21800.COI.30.500_F_filt,primers-trimmed-1392-103-SH21800-COI-30-500_F_filt.fastq.gz,SH21800-COI-30-500,30_STE_500,stetson_arms_30_500,Stetson_30_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,85067,519,5.784535238,0.95824413,0.925243789,45.63396406,540.2,547.9441758,primers.trimmed.1392.103.SH21800.COI.30.500_F_filt.fastq.gz,30,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21801,primers.trimmed.1392.104.SH21801.COI.30.500b_F_filt,primers-trimmed-1392-104-SH21801-COI-30-500b_F_filt.fastq.gz,SH21801-COI-30-500b,30b_STE_500,stetson_arms_30b_500,Stetson_30b_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,18687,284,5.991301722,0.969724041,1.060599937,28.77307723,301,302.9380804,primers.trimmed.1392.104.SH21801.COI.30.500b_F_filt.fastq.gz,30b,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21733,primers.trimmed.1392.034.SH21733.COI.34.SESS_F_filt,primers-trimmed-1392-034-SH21733-COI-34-SESS_F_filt.fastq.gz,SH21733-COI-34-SESS,34_EFGdeep_SESSILE,efgb_arms_34_sessile,EFGB_34_sessile,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.42,35.99,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,sessile,61502,703,5.858403423,0.942639477,0.893681842,63.66293123,751.5666667,758.1925806,primers.trimmed.1392.034.SH21733.COI.34.SESS_F_filt.fastq.gz,34,arms,34_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21734,primers.trimmed.1392.035.SH21734.COI.35.SESS_F_filt,primers-trimmed-1392-035-SH21734-COI-35-SESS_F_filt.fastq.gz,SH21734-COI-35-SESS,35_EFGdeep_SESSILE,efgb_arms_35_sessile,EFGB_35_sessile,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,20.98,36.23,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,sessile,57198,645,5.155430374,0.91268192,0.796913108,58.78983742,679,696.0835012,primers.trimmed.1392.035.SH21734.COI.35.SESS_F_filt.fastq.gz,35,arms,35_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21735,primers.trimmed.1392.036.SH21735.COI.36.SESS_F_filt,primers-trimmed-1392-036-SH21735-COI-36-SESS_F_filt.fastq.gz,SH21735-COI-36-SESS,36_EFGdeep_SESSILE,efgb_arms_36_sessile,EFGB_36_sessile,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.12,36.19,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,sessile,51888,645,5.077036848,0.901652438,0.784795239,59.31742866,678.75,689.2537838,primers.trimmed.1392.036.SH21735.COI.36.SESS_F_filt.fastq.gz,36,arms,36_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21808,primers.trimmed.1392.111.SH21808.COI.34.100_F_filt,primers-trimmed-1392-111-SH21808-COI-34-100_F_filt.fastq.gz,SH21808-COI-34-100,34_EFGdeep_100,efgb_arms_34_100,EFGB_34_100,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.42,35.99,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,100,70396,937,6.879882111,0.971548701,1.005436293,83.85675325,962.7142857,975.5508143,primers.trimmed.1392.111.SH21808.COI.34.100_F_filt.fastq.gz,34,arms,34_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21809,primers.trimmed.1392.112.SH21809.COI.34.500_F_filt,primers-trimmed-1392-112-SH21809-COI-34-500_F_filt.fastq.gz,SH21809-COI-34-500,34_EFGdeep_500,efgb_arms_34_500,EFGB_34_500,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.42,35.99,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,500,92755,664,6.434146293,0.978157538,0.990130337,57.96611391,689.2,696.5728217,primers.trimmed.1392.112.SH21809.COI.34.500_F_filt.fastq.gz,34,arms,34_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21810,primers.trimmed.1392.113.SH21810.COI.35.100_F_filt,primers-trimmed-1392-113-SH21810-COI-35-100_F_filt.fastq.gz,SH21810-COI-35-100,35_EFGdeep_100,efgb_arms_35_100,EFGB_35_100,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,20.98,36.23,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,100,40639,626,6.254951876,0.962181425,0.971363805,58.89290678,661.0113636,667.7827314,primers.trimmed.1392.113.SH21810.COI.35.100_F_filt.fastq.gz,35,arms,35_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21811,primers.trimmed.1392.114.SH21811.COI.35.500_F_filt,primers-trimmed-1392-114-SH21811-COI-35-500_F_filt.fastq.gz,SH21811-COI-35-500,35_EFGdeep_500,efgb_arms_35_500,EFGB_35_500,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,20.98,36.23,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,500,74078,473,5.834093003,0.96109056,0.947232123,42.09447154,498.6521739,509.1218869,primers.trimmed.1392.114.SH21811.COI.35.500_F_filt.fastq.gz,35,arms,35_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21812,primers.trimmed.1392.115.SH21812.COI.36.100_F_filt,primers-trimmed-1392-115-SH21812-COI-36-100_F_filt.fastq.gz,SH21812-COI-36-100,36_EFGdeep_100,efgb_arms_36_100,EFGB_36_100,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.12,36.19,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,100,71976,954,6.367957769,0.961713892,0.92818393,85.2103452,992.4507042,1007.25941,primers.trimmed.1392.115.SH21812.COI.36.100_F_filt.fastq.gz,36,arms,36_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
